GeoID,TractNum,TotalValueSampleUnits,MedianPropertyValue,TotalRentSampleUnits,MedianGrossRent,TotalIncomeSampleHouseholds,MedianIncome,TotalOccupationSamplePop,PercentOccupation_management_business_science_arts ,PercentOccupation_sales_office,TotalIndustrySamplePop,PercentIndustry_wholesale trade,PercentIndustry_information,PercentIndustry_finance and insurance_real estate,PercentIndustry_professional_scientific_management_administrative_wastemanagement,PercentIndustry_educational_healthcare_socialAssistance,PercentIndustry_PublicAdmin,TotalEducSample_over25,PercentEducAttainment_BachelorOrHigher
1400000US42101000100,1,843,354800,1172,1424,2033,73041,2504,71.8,14.5,2504,7.3,4.8,14.5,20.6,26.1,2.1,2752,72.3
1400000US42101000200,2,482,254700,506,802,1005,43218,1122,32.4,36.6,1122,2.9,7.5,8,3.6,11.1,5.1,1602,33.3
1400000US42101000300,3,551,456000,1251,1492,1832,65577,2337,60.5,29.1,2337,2.6,3.9,7.2,22.8,22.6,3.3,2551,68.8
1400000US42101000401,4.01,165,429600,1004,866,1169,21832,770,81,11.7,770,1.7,8.7,1.6,19.1,46,14.8,1247,71.5
1400000US42101000402,4.02,1242,152800,1002,1133,2295,50020,1621,61.5,19.8,1621,0,0,12,25.4,25.8,3.7,2942,58.9
1400000US42101000500,5,11,,615,944,636,45357,881,51,31.3,881,0,3.3,5.8,10.8,17.5,1.2,1325,37.6
1400000US42101000600,6,21,312500,592,1377,653,53938,879,64.1,20.6,879,0,0,1.5,9.7,49.4,4.3,803,74.2
1400000US42101000700,7,478,220800,1414,1205,1943,38750,1444,74.7,19.4,1444,0,3.5,11.7,18.9,42.5,4.7,2063,75.1
1400000US42101000801,8.01,278,717400,724,1565,1016,79000,1029,88.6,7.2,1029,0.7,6.3,15.5,7.2,40.1,1.4,1280,91.6
1400000US42101000803,8.03,1115,521200,1394,1189,2569,59135,2380,79.4,13.5,2380,1.5,2.6,6.4,30.1,36.3,3.4,3322,87.5
1400000US42101000804,8.04,445,288800,1622,1526,2075,62589,1972,78.4,13.5,1972,0.7,1.6,15.9,18.3,37.6,4.1,2542,85.4
1400000US42101000901,9.01,247,303400,1065,998,1312,39265,1204,81.1,8.8,1204,1.2,1.7,3.5,18.5,51.4,5.7,1540,74.2
1400000US42101000902,9.02,165,493800,1135,934,1300,16429,847,64.7,19.6,847,6,3.3,7.1,10.2,50.2,3.8,1558,63.6
1400000US42101001001,10.01,985,485500,425,1297,1424,85179,1351,75.2,15.8,1351,4.7,4.2,10.8,20.5,27.5,6.7,1983,73.7
